Date, Open, High, Low, Close, Return
02/05/2021 00:00:00,4191.98,4209.39,4188.03,4192.66,-0.68
03/05/2021 00:00:00,4179.04,4179.04,4128.59,4164.66,14.38
04/05/2021 00:00:00,4177.06,4187.72,4160.94,4167.59,9.47
05/05/2021 00:00:00,4169.14,4202.7,4147.33,4201.62,-32.48
06/05/2021 00:00:00,4210.34,4238.04,4201.64,4232.6,-22.26
09/05/2021 00:00:00,4228.29,4236.39,4188.13,4188.43,39.86
10/05/2021 00:00:00,4150.34,4162.04,4111.53,4152.1,-1.76
11/05/2021 00:00:00,4130.55,4134.73,4056.88,4063.04,67.51
12/05/2021 00:00:00,4074.99,4131.58,4074.99,4112.5,-37.51
13/05/2021 00:00:00,4129.58,4183.13,4129.58,4173.85,-44.27
16/05/2021 00:00:00,4169.92,4171.92,4142.69,4163.29,6.63
17/05/2021 00:00:00,4165.94,4169.15,4125.99,4127.83,38.11
18/05/2021 00:00:00,4098.45,4116.93,4061.41,4115.68,-17.23
19/05/2021 00:00:00,4121.97,4172.8,4121.97,4159.12,-37.15
20/05/2021 00:00:00,4168.61,4188.72,4151.72,4155.86,12.75
23/05/2021 00:00:00,4170.16,4209.52,4170.16,4197.05,-26.89
24/05/2021 00:00:00,4205.94,4213.42,4182.52,4188.13,17.81
25/05/2021 00:00:00,4191.59,4202.61,4184.11,4195.99,-4.4
26/05/2021 00:00:00,4201.94,4213.38,4197.78,4200.88,1.06
27/05/2021 00:00:00,4210.77,4218.36,4203.57,4204.11,6.66
31/05/2021 00:00:00,4216.52,4234.12,4197.59,4202.04,14.48
01/06/2021 00:00:00,4206.82,4217.37,4198.27,4208.12,-1.3
02/06/2021 00:00:00,4191.43,4204.39,4167.93,4192.85,-1.42
03/06/2021 00:00:00,4206.05,4233.45,4206.05,4229.89,-23.84
06/06/2021 00:00:00,4229.34,4232.34,4215.66,4226.52,2.82
07/06/2021 00:00:00,4233.81,4236.74,4208.41,4227.26,6.55
08/06/2021 00:00:00,4232.99,4237.09,4218.74,4219.55,13.44
09/06/2021 00:00:00,4228.56,4249.74,4220.34,4239.18,-10.62
10/06/2021 00:00:00,4242.9,4248.38,4232.25,4247.44,-4.54
13/06/2021 00:00:00,4248.31,4255.59,4234.07,4255.15,-6.84
14/06/2021 00:00:00,4255.28,4257.16,4238.35,4246.59,8.69
15/06/2021 00:00:00,4248.87,4251.89,4202.45,4223.7,25.17
16/06/2021 00:00:00,4220.37,4232.29,4196.05,4221.86,-1.49
17/06/2021 00:00:00,4204.78,4204.78,4164.4,4166.45,38.33
20/06/2021 00:00:00,4173.4,4226.24,4173.4,4224.79,-51.39
21/06/2021 00:00:00,4224.61,4255.84,4217.27,4246.44,-21.83
22/06/2021 00:00:00,4249.27,4256.6,4241.43,4241.84,7.43
23/06/2021 00:00:00,4256.97,4271.28,4256.97,4266.49,-9.52
24/06/2021 00:00:00,4274.45,4286.12,4271.16,4280.7,-6.25
27/06/2021 00:00:00,4284.9,4292.14,4274.67,4290.61,-5.71
28/06/2021 00:00:00,4293.21,4300.52,4287.04,4291.8,1.41
29/06/2021 00:00:00,4290.65,4302.43,4287.96,4297.5,-6.85
30/06/2021 00:00:00,4300.73,4320.66,4300.73,4319.94,-19.21
01/07/2021 00:00:00,4326.6,4355.43,4326.6,4352.34,-25.74
05/07/2021 00:00:00,4356.46,4356.46,4314.37,4343.54,12.92
06/07/2021 00:00:00,4351.01,4361.88,4329.79,4358.13,-7.12
07/07/2021 00:00:00,4321.07,4330.88,4289.37,4320.82,0.25
08/07/2021 00:00:00,4329.38,4371.6,4329.38,4369.55,-40.17
11/07/2021 00:00:00,4372.41,4386.68,4364.03,4384.63,-12.22
12/07/2021 00:00:00,4381.07,4392.37,4366.92,4369.21,11.86
13/07/2021 00:00:00,4380.11,4393.68,4362.36,4374.3,5.81
14/07/2021 00:00:00,4369.02,4369.02,4340.7,4360.03,8.99
15/07/2021 00:00:00,4367.43,4375.09,4322.53,4327.16,40.27
18/07/2021 00:00:00,4296.4,4296.4,4233.13,4258.49,37.91
19/07/2021 00:00:00,4265.11,4336.84,4262.05,4323.06,-57.95
20/07/2021 00:00:00,4331.13,4359.7,4331.13,4358.69,-27.56
21/07/2021 00:00:00,4361.27,4369.87,4350.06,4367.48,-6.21
22/07/2021 00:00:00,4381.2,4415.18,4381.2,4411.79,-30.59
25/07/2021 00:00:00,4409.58,4422.73,4405.45,4422.3,-12.72
26/07/2021 00:00:00,4416.38,4416.38,4372.51,4401.46,14.92
27/07/2021 00:00:00,4402.95,4415.47,4387.01,4400.64,2.31
28/07/2021 00:00:00,4403.59,4429.97,4403.59,4419.15,-15.56
29/07/2021 00:00:00,4395.12,4412.25,4389.65,4395.26,-0.14
01/08/2021 00:00:00,4406.86,4422.18,4384.81,4387.16,19.7
02/08/2021 00:00:00,4392.74,4423.79,4373,4423.15,-30.41
03/08/2021 00:00:00,4415.95,4416.17,4400.23,4402.66,13.29
04/08/2021 00:00:00,4408.86,4429.76,4408.86,4429.1,-20.24
05/08/2021 00:00:00,4429.07,4440.82,4429.07,4436.52,-7.45
08/08/2021 00:00:00,4437.77,4439.39,4424.74,4432.35,5.42
09/08/2021 00:00:00,4435.79,4445.21,4430.03,4436.75,-0.96
10/08/2021 00:00:00,4442.18,4449.44,4436.42,4442.41,-0.23
11/08/2021 00:00:00,4446.08,4461.77,4435.96,4460.83,-14.75
12/08/2021 00:00:00,4464.84,4468.37,4460.82,4468,-3.16
15/08/2021 00:00:00,4461.65,4480.26,4437.66,4479.71,-18.06
16/08/2021 00:00:00,4462.12,4462.12,4417.83,4448.08,14.04
17/08/2021 00:00:00,4440.94,4454.32,4397.59,4400.27,40.67
18/08/2021 00:00:00,4382.44,4418.61,4367.73,4405.8,-23.36
19/08/2021 00:00:00,4410.56,4444.35,4406.8,4441.67,-31.11
22/08/2021 00:00:00,4450.29,4489.88,4450.29,4479.53,-29.24
23/08/2021 00:00:00,4484.4,4492.81,4482.28,4486.23,-1.83
24/08/2021 00:00:00,4490.45,4501.71,4485.66,4496.19,-5.74
25/08/2021 00:00:00,4493.75,4495.9,4468.99,4470,23.75
26/08/2021 00:00:00,4474.1,4513.33,4474.1,4509.37,-35.27
29/08/2021 00:00:00,4513.76,4537.36,4513.76,4528.79,-15.03
30/08/2021 00:00:00,4529.75,4531.39,4515.8,4522.68,7.07
31/08/2021 00:00:00,4528.8,4537.11,4522.02,4524.09,4.71
01/09/2021 00:00:00,4534.48,4545.85,4524.66,4536.95,-2.47
02/09/2021 00:00:00,4532.42,4541.45,4521.3,4535.43,-3.01
06/09/2021 00:00:00,4535.38,4535.38,4513,4520.03,15.35
07/09/2021 00:00:00,4518.09,4521.79,4493.95,4514.07,4.02
08/09/2021 00:00:00,4513.02,4529.9,4492.07,4493.28,19.74
